Id,Probability
1,0.0653293459095929
2,0.0494384925481797
3,0.041553560983946
4,0.121641486781961
5,0.105416969906563
6,0.0367314787747572
7,0.0580821134185319
8,0.03600757984517
9,0.0293969234694318
10,0.700711232184609
11,0.0796672529913888
12,0.05551140844171
13,0.0262818517605174
14,0.0915425316765324
15,0.0427801549277863
16,0.0944464385779045
17,0.0283443610448778
18,0.0769672587713613
19,0.046677597494739
20,0.0617815009352904
21,0.0573395061902761
22,0.0341061048331882
23,0.03253529335498
24,0.0514081623258469
25,0.0778578544324358
26,0.048095944788881
27,0.06573089461299
28,0.0281676902631913
29,0.0926754843681177
30,0.0489292689106227
31,0.0601636971490283
32,0.0445193306709516
33,0.0396801516745912
34,0.04643688180463
35,0.177394615431795
36,0.0556612619041638
37,0.0912668343888935
38,0.0437998614202749
39,0.078136381111216
40,0.0658202537528216
41,0.101506183222394
42,0.157664559507206
43,0.0592352578126267
44,0.0415520728446244
45,0.0444760994975825
46,0.0199946032510048
47,0.0197661528321377
48,0.047651462197657
49,0.0623981907263795
50,0.0501431836627265
51,0.0415466458463776
52,0.0136780813473053
53,0.0683572598515514
54,0.0634702637271565
55,0.0772917668899128
56,0.0910147720413277
57,0.0298457197556573
58,0.138942797741719
59,0.0620492887170924
60,0.13082434793705
61,0.0241154179173437
62,0.0553306401512502
63,0.0937434557952123
64,0.0374585126975581
65,0.0672659846365002
66,0.0228205247375376
67,0.0640802655320684
68,0.0832298116925386
69,0.0392370444700482
70,0.532787382571713
71,0.046034842429394
72,0.0925530217968644
73,0.026189046214362
74,0.127509155050291
75,0.0625246598241428
76,0.0392681975572169
77,0.0550379644150894
78,0.0761755312269824
79,0.034443356483476
80,0.0860700352325185
81,0.0537387589213105
82,0.0505807354588742
83,0.107102813752375
84,0.0170806947993083
85,0.0603137448520882
86,0.0602815403055714
87,0.120384507790365
88,0.0607230588222398
89,0.10375702315711
90,0.108857197697672
91,0.0931876524300911
92,0.0550943590470373
93,0.0538491005122288
94,0.0509321775725447
95,0.0392810158700759
96,0.104402693567413
97,0.0401878878300188
98,0.0659787727742174
99,0.0511685038920357
100,0.0988382288609791
101,0.0551385492234601
102,0.0760539703896088
103,0.033288215431287
104,0.0707536619961438
105,0.111696228308605
106,0.111327087791163
107,0.190595289145618
